x,B
399.0,19.0
400.0,19.0
401.0,18.0
402.0,18.0
403.0,19.0
404.0,19.0
405.0,19.0
406.0,19.0
407.0,19.0
408.0,18.0
409.0,18.0
410.0,18.0
411.0,18.0
412.0,18.0
413.0,18.0
414.0,18.0
415.0,17.0
416.0,17.0
417.0,17.0
418.0,17.0
419.0,18.0
420.0,18.0
421.0,18.0
422.0,17.0
423.0,17.0
424.0,17.0
425.0,17.0
426.0,17.0
427.0,17.0
428.0,16.0
429.0,16.0
430.0,17.0
431.0,16.0
432.0,16.0
433.0,15.0
434.0,16.0
435.0,16.0
436.0,16.0
437.0,16.0
438.0,15.0
439.0,15.0
440.0,15.0
441.0,15.0
442.0,15.0
443.0,14.0
444.0,14.0
445.0,15.0
446.0,15.0
447.0,14.0
448.0,14.0
449.0,14.0
450.0,15.0
451.0,14.0
452.0,13.0
453.0,13.0
454.0,13.0
455.0,13.0
456.0,13.0
457.0,13.0
458.0,13.0
459.0,12.0
460.0,12.0
461.0,13.0
462.0,13.0
463.0,12.0
464.0,13.0
465.0,13.0
466.0,12.0
467.0,12.0
468.0,12.0
469.0,12.0
470.0,11.0
471.0,12.0
472.0,12.0
473.0,11.0
474.0,11.0
475.0,11.0
476.0,10.0
477.0,11.0
478.0,12.0
479.0,10.0
480.0,11.0
481.0,11.0
482.0,10.0
483.0,10.0
484.0,11.0
485.0,10.0
486.0,10.0
487.0,10.0
488.0,9.0
489.0,10.0
490.0,10.0
491.0,9.0
492.0,10.0
493.0,9.0
494.0,9.0
495.0,9.0
496.0,9.0
497.0,9.0
498.0,9.0
499.0,9.0
500.0,9.0
501.0,9.0
502.0,8.0
503.0,8.0
504.0,9.0
505.0,8.0
506.0,8.0
507.0,8.0
508.0,8.0
509.0,8.0
510.0,8.0
511.0,8.0
512.0,8.0
513.0,7.0
514.0,8.0
515.0,7.0
516.0,7.0
517.0,8.0
518.0,7.0
519.0,7.0
520.0,7.0
521.0,7.0
522.0,7.0
523.0,7.0
524.0,7.0
525.0,6.0
526.0,7.0
527.0,6.0
528.0,6.0
529.0,7.0
530.0,6.0
531.0,6.0
532.0,6.0
533.0,6.0
534.0,6.0
535.0,6.0
536.0,6.0
537.0,6.0
538.0,6.0
539.0,5.0
540.0,6.0
541.0,5.0
542.0,6.0
543.0,5.0
544.0,6.0
545.0,5.0
546.0,6.0
547.0,5.0
548.0,5.0
549.0,5.0
550.0,6.0
551.0,5.0
552.0,5.0
553.0,5.0
554.0,5.0
555.0,5.0
556.0,5.0
557.0,4.0
558.0,5.0
559.0,4.0
560.0,5.0
